popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
1,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
0,264503,FALSE,0.596,0.448,5,-9.616,1,0.0396,0.365,5.22e-06,0.207,0.796,83.293,4,blues
0,164160,FALSE,0.682,0.776,7,-8.314,0,0.114,0.83,1.1e-05,0.17,0.959,151.799,4,blues
0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
1,170173,FALSE,0.755,0.642,10,-11.849,1,0.0566,0.564,0.000105,0.0443,0.969,79.768,4,blues
0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
0,275395,FALSE,0.367,0.824,7,-6.763,1,0.0377,0.0121,8.55e-05,0.155,0.253,89.946,4,blues
0,182040,FALSE,0.465,0.121,5,-15.394,1,0.0356,0.867,0,0.165,0.221,73.399,4,blues
0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
2,307909,FALSE,0.753,0.788,9,-7.271,0,0.0383,0.126,1.07e-06,0.141,0.964,127.521,4,blues
0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
1,258146,FALSE,0.586,0.906,0,-8.235,1,0.0564,0.000837,0.019,0.0958,0.748,122.133,4,blues
0,248906,FALSE,0.48,0.796,5,-10.391,1,0.0406,0.617,0.00685,0.37,0.906,89.798,4,blues
0,169680,FALSE,0.461,0.663,0,-9.278,1,0.0869,0.39,0,0.422,0.769,135.35,4,blues
0,163066,FALSE,0.572,0.848,7,-10.054,1,0.125,0.739,4.67e-06,0.245,0.927,157.621,4,blues
0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
0,163066,FALSE,0.572,0.848,7,-10.054,1,0.125,0.739,4.67e-06,0.245,0.927,157.621,4,blues
0,210733,FALSE,0.302,0.0455,8,-15.532,1,0.0414,0.987,0.000605,0.229,0.122,73.146,5,blues
